goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
tamis à tabac,1,not a medical product,non,1,530316
tamis de crin,4,not a medical product,non,4,530316
tamis de fil de laiton,3,not a medical product,non,2,530316
tamis de soie,1,not a medical product,non,1,530316
tamis de toile de crin,1,not a medical product,non,1,530316
tan,3,not a medical product,non,1,530316
tanabare ???,1,not a medical product,non,1,530316
tanches,1,not a medical product,non,1,530316
tanelles,1,not a medical product,non,1,530316
tanier de laine,1,not a medical product,non,1,530316
tanis de soie,43,not a medical product,non,14,530316
tanjebs,5,not a medical product,non,1,530316
tanquets de terre,1,not a medical product,non,,530316
tapetal,1,not a medical product,non,1,530316
tapette,1,not a medical product,non,1,530316
tapette à mouches,1,not a medical product,non,1,530316
tapis,115,not a medical product,non,93,530316
tapis à côtes et à nœuds de laine,2,not a medical product,non,2,530316
tapis à petit point,1,,non,,1394
tapis autres qu'à côtes et à nœuds de laine,1,not a medical product,non,1,530316
tapis brodés,1,not a medical product,non,,530316
tapis brodés en soie,1,not a medical product,non,,530316
tapis brodés en surface et de drap,1,not a medical product,non,,530316
tapis courtepointe,1,,non,,1394
tapis courtepointe de toile peinte,1,not a medical product,non,1,530316
tapis d'Angleterre,1,not a medical product,non,1,530316
tapis d'Aubusson,10,not a medical product,non,4,530316
tapis d'Auvergne,12,not a medical product,non,10,530316
tapis d'indienne,17,not a medical product,non,14,530316
tapis de billard,1,not a medical product,non,1,530316
tapis de chitte,1,not a medical product,non,1,530316
tapis de coton,1,not a medical product,non,1,530316
tapis de coton et de fil,2,not a medical product,non,2,530316
tapis de fil et de laine,2,not a medical product,non,2,530316
tapis de Guinée,2,not a medical product,non,2,530316
tapis de laine,109,not a medical product,non,100,530316
tapis de laine à côtes et à nœuds,1,not a medical product,non,1,530316
tapis de laine d'Aubusson,3,,non,,1394
tapis de laine d'Auvergne,1,,non,,1394
tapis de laine simples,4,not a medical product,non,4,530316
tapis de moquette,9,not a medical product,non,9,530316
tapis de palampoux,1,not a medical product,non,,530316
tapis de Perse,1,not a medical product,non,1,530316
tapis de pieds,4,not a medical product,non,4,530316
tapis de pure laine,3,not a medical product,non,3,530316
tapis de Rouen,1,not a medical product,non,,530316
tapis de satin,1,not a medical product,non,,530316
tapis de satin blanc brodé,1,not a medical product,non,,530316
tapis de satin brodé,4,not a medical product,non,,530316
tapis de soie,1,not a medical product,non,,530316
tapis de table,2,not a medical product,non,1,530316
tapis de table pièces,1,not a medical product,non,1,530316
tapis de toile cirée,1,not a medical product,non,1,530316
tapis de toile peinte,10,not a medical product,non,5,530316
tapis de toile rayée,1,not a medical product,non,,530316
tapis de Turquie,9,not a medical product,non,6,530316
tapis de velours,7,not a medical product,non,4,530316
tapis des Indes,7,not a medical product,non,6,530316
tapis divers,18,not a medical product,non,19,530316
tapis du Caire,3,not a medical product,non,3,530316
tapis du Levant,2,not a medical product,non,2,530316
tapis et courtepointe,1,,non,,1394
tapis et tapisserie,1,not a medical product,non,1,530316
tapis fabrique de Tournai,1,not a medical product,non,1,530316
tapis fil teint,1,not a medical product,non,1,530316
tapis gros point,1,,non,,1394
tapis indienne,1,not a medical product,non,1,530316
tapis peints,7,not a medical product,non,1,530316
tapis peints brodés,1,not a medical product,non,,530316
tapis vieux de renvoi,1,not a medical product,non,1,530316
tapisserie,112,not a medical product,non,91,530316
tapisserie à l'Aubusson,4,not a medical product,non,4,530316
tapisserie aux aiguilles,3,not a medical product,non,3,530316
tapisserie commune,21,not a medical product,non,20,530316
tapisserie d'Amiens,2,not a medical product,non,2,530316
tapisserie d'Anvers,1,not a medical product,non,1,530316
tapisserie d'Aubusson,112,not a medical product,non,102,530316
tapisserie d'Aubusson tenture,2,not a medical product,non,2,530316
tapisserie d'Audenarde,12,not a medical product,non,11,530316
tapisserie d'Auvergne,104,not a medical product,non,102,530316
tapisserie d'Auvergne tentures,1,not a medical product,non,1,530316
tapisserie d'Elbeuf,13,not a medical product,non,13,530316
tapisserie d'oudenarde,1,not a medical product,non,,530316
tapisserie d'ouvrage,1,,non,,1394
tapisserie d'ouvragre,0,,oui,,1394
tapisserie de Bayonne,1,not a medical product,non,,530316
tapisserie de Beauvais,1,not a medical product,non,1,530316
tapisserie de Bergame,12,not a medical product,non,11,530316
tapisserie de Bruxelles,1,not a medical product,non,1,530316
tapisserie de Bruxelles et autres,5,not a medical product,non,5,530316
tapisserie de coton,1,not a medical product,non,1,530316
tapisserie de coton imprimé,1,not a medical product,non,1,530316
tapisserie de coutil,1,,non,,1394
tapisserie de coutil peinte,1,not a medical product,non,1,530316
tapisserie de cuir doré,12,not a medical product,non,7,530316
tapisserie de fil et de laine,3,not a medical product,non,3,530316
tapisserie de fil peint,1,not a medical product,non,1,530316
tapisserie de fil teint,2,not a medical product,non,2,530316
tapisserie de filoselle,1,not a medical product,non,1,530316
tapisserie de Flandre avec argent et or,1,not a medical product,non,1,530316
tapisserie de haut lieu vieille,1,not a medical product,non,,530316
tapisserie de haute lice,13,not a medical product,non,12,530316
tapisserie de haute lice en tenture,2,not a medical product,non,1,530316
tapisserie de Hongrie,3,not a medical product,non,3,530316
tapisserie de la Marche,1,not a medical product,non,1,530316
tapisserie de laine,7,not a medical product,non,6,530316
tapisserie de laine d'Aubusson,1,,non,,1394
tapisserie de moquette,33,not a medical product,non,33,530316
tapisserie de papier peau,1,not a medical product,non,1,530316
tapisserie de papier peint,1,not a medical product,non,1,530316
tapisserie de point de Hongrie,3,not a medical product,non,3,530316
tapisserie de Rouen,104,not a medical product,non,102,530316
tapisserie de toile cirée,1,not a medical product,non,1,530316
tapisserie de toile peinte,4,not a medical product,non,4,530316
tapisserie de verdure,4,not a medical product,non,3,530316
tapisserie de verdure tentures,1,not a medical product,non,1,530316
tapisserie des Gobelins,21,not a medical product,non,21,530316
tapisserie du Dauphiné,1,not a medical product,non,1,530316
tapisserie fausse et de toile,1,not a medical product,non,1,530316
tapisserie filoselle et laine,1,not a medical product,non,1,530316
tapisserie fine coutil,1,not a medical product,non,1,530316
tapisserie hachée et de laine,2,not a medical product,non,2,530316
tapisserie peinte,15,not a medical product,non,11,530316
tapisserie peinte ??? toile,1,not a medical product,non,1,530316
tapisserie peinte de Hongrie,4,not a medical product,non,4,530316
tapisserie peinte sur coutil,2,not a medical product,non,,530316
tapisserie peinte sur toile,1,,non,,1394
tapisserie peinte tentures,1,not a medical product,non,1,530316
tapisserie pièce,1,not a medical product,non,1,530316
tapisserie point de Hongrie,3,not a medical product,non,3,530316
tapisserie pour chaises,1,not a medical product,non,1,530316
tapisserie pur ??? coutil,1,not a medical product,non,1,530316
tapisserie simple,1,not a medical product,non,1,530316
tapisserie sur toile,2,not a medical product,non,1,530316
tapisserie tontisse,3,not a medical product,non,3,530316
tapisserie verdure,2,not a medical product,non,2,530316
tapisserie vieille,8,not a medical product,non,6,530316
tapsel,173,not a medical product,non,118,530316
tapsel des Indes,3,not a medical product,non,3,530316
tapsel étoffe,1,,non,,1394
tapsel étroite,1,not a medical product,non,,530316
tapsel grand,4,not a medical product,non,1,530316
tapsel large,1,not a medical product,non,1,530316
tapsel longue et large,1,not a medical product,non,,530316
taques de cheminée,1,not a medical product,non,,530316
tarnatanes,3,not a medical product,non,2,530316
tars,1,not a medical product,non,1,530316
tartagogne,1,not a medical product,non,1,530316
tartre,821,not a medical product,non,693,530316
tartre blanc,7,not a medical product,non,7,530316
tartre brut,3,not a medical product,non,3,530316
tartre de lie de vin désséchée,2,not a medical product,non,2,530316
tartre de lie de vin liquide,1,not a medical product,non,1,530316
tartre de potasse de soude et de potasse,2,not a medical product,non,2,530316
tartre de soude et de potasse,1,not a medical product,non,1,530316
tartre émétique,3,narrow medical product,non,3,24136
tartre en pierre,1,not a medical product,non,1,530316
tartre en poussière,1,not a medical product,non,1,530316
tartre et lie de vin,22,not a medical product,non,22,530316
tartre et térébenthine,2,not a medical product,non,1,530316
tartre glan,1,not a medical product,non,1,530316
tartre rouge,7,not a medical product,non,7,530316
tartre térébenthine,4,not a medical product,non,4,530316
tartre vitriolé,1,not a medical product,non,1,530316
tase rouge,1,not a medical product,non,1,530316
tasseaux,1,not a medical product,non,1,530316
tasses,3,not a medical product,non,3,530316
tasses de coco,1,not a medical product,non,,530316
tasses de coraux garnies d'argent,1,,non,,1394
tasses de faïence,2,not a medical product,non,2,530316
tasses de terre blanche,1,not a medical product,non,1,530316
tasses de vermillon,4,not a medical product,non,4,530316
tatie,1,not a medical product,non,1,530316
taulier pour canon,1,not a medical product,non,1,530316
taupine,3,not a medical product,non,1,530316
taupine de coton et de soie,2,not a medical product,non,2,530316
taureaux,56,not a medical product,non,56,530316
taureaux et vaches,2,not a medical product,non,1,530316
tavelle,32,not a medical product,non,30,530316
tavelle de fil et de laine,1,not a medical product,non,1,530316
tavelle de laine,1,not a medical product,non,1,530316
tavelle passement,1,not a medical product,non,,530316
tayolles,70,not a medical product,non,62,530316
tayolles de coton,8,not a medical product,non,8,530316
tayolles de coton et de fil,1,not a medical product,non,1,530316
tayolles de coton et de soie,1,not a medical product,non,1,530316
tayolles de fil,1,not a medical product,non,1,530316
tayolles de laine,10,not a medical product,non,7,530316
tayolles de soie,5,not a medical product,non,4,530316
tegers de cuivre,1,not a medical product,non,1,530316
teinture,44,not a medical product,non,40,530316
teinture cerise,2,not a medical product,non,2,530316
teinture commune,1,not a medical product,non,1,530316
teinture d'herbes,1,not a medical product,non,1,530316
teinture jaune,1,not a medical product,non,,530316
teinture pour les filets,1,not a medical product,non,1,530316
teinture préparée,1,not a medical product,non,1,530316
tejenes de cuivre,1,not a medical product,non,,530316
télescope,9,not a medical product,non,8,530316
télescope de bois uni,1,not a medical product,non,1,530316
télescope de cuivre poli,1,not a medical product,non,1,530316
temparille,1,not a medical product,non,,530316
tenaille,3,not a medical product,non,3,530316
tenaille de fer,2,not a medical product,non,1,530316
tenaille grossière,2,not a medical product,non,2,530316
tendeurs pour voile,3,not a medical product,non,1,530316
tenelle d'espars,1,not a medical product,non,1,530316
tenevie,1,not a medical product,non,,530316
tentes,2,not a medical product,non,1,530316
tentes canonnières,1,not a medical product,non,1,530316
tentes et voile,1,not a medical product,non,1,530316
tentes et voile en rolles ou pièces,2,not a medical product,non,1,530316
