simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
toile blanche de chanvre et de lin de 20 fils et au-dessus,2,non,not a medical product,2,795416
toile blanche de chanvre et de lin de moins de 13 fils,2,non,not a medical product,2,795416
toile blanche de chanvre et de lin unie,2,non,not a medical product,2,795416
toile blanche de chanvre et de lin unie de 13 fils inclusivement à 20 fil exclusivement,1,non,not a medical product,1,795416
toile blanche de chanvre et de lin unie de 20 fils et au-dessus,1,non,not a medical product,1,795416
toile blanche de chanvre et de lin unie de moins de 13 fils,1,non,not a medical product,1,795416
toile blanche de Cholet,3,non,not a medical product,1,795416
toile blanche de coton,304,non,not a medical product,80,795416
toile blanche de coton du Levant,1,non,,,42621
toile blanche de coton et de ???,1,non,not a medical product,1,795416
toile blanche de coton et des Indes,6,non,not a medical product,6,795416
toile blanche de coton et fil,1,non,not a medical product,1,795416
toile blanche de coton et fine,3,non,not a medical product,2,795416
toile blanche de coton et nationale,6,non,not a medical product,6,795416
toile blanche de coton et rayée,1,non,not a medical product,1,795416
toile blanche de coton fine,0,oui,not a medical product,1,795416
toile blanche de coton pour mouchoirs,8,non,not a medical product,1,795416
toile blanche de coton saisie,1,non,,,42621
toile blanche de fil grosse,1,non,,,42621
toile blanche de France,2,non,not a medical product,2,795416
toile blanche de Hollande,2,non,not a medical product,1,795416
toile blanche de la Compagnie,3,non,not a medical product,3,795416
toile blanche de lin,26,non,not a medical product,22,795416
toile blanche de lin ??? à la frontière,0,non,not a medical product,5,795416
toile blanche de lin à 10 sols et en dessus,17,non,not a medical product,1,795416
toile blanche de lin de 12 sols par aune,1,oui,not a medical product,1,795416
toile blanche de lin de 2 sols par aune,1,oui,not a medical product,1,795416
toile blanche de lin de 20 sols par aune,1,oui,not a medical product,1,795416
toile blanche de lin de 30 sols par aune,1,oui,not a medical product,1,795416
toile blanche de lin de 8 sols par aune,1,oui,not a medical product,1,795416
toile blanche de lin en dessous de 10 sols,2,oui,not a medical product,1,795416
toile blanche de lin en dessous de 10 sols par aune,11,non,,,42621
toile blanche de lin et haut prix,5,non,not a medical product,1,795416
toile blanche de lin et toile de lin,11,non,not a medical product,6,795416
toile blanche de lin pour nappes et serviettes,6,non,not a medical product,1,795416
toile blanche de ménage,3,non,not a medical product,,795416
toile blanche de Saint Quentin et Valenciennes,3,non,not a medical product,3,795416
toile blanche de Saint-Quentin,3,non,not a medical product,3,795416
toile blanche demitte,1,non,not a medical product,1,795416
toile blanche en pièces de 20 aunes,1,oui,not a medical product,1,795416
toile blanche escanite,1,non,not a medical product,1,795416
toile blanche et rouge,1,non,not a medical product,1,795416
toile blanche et rousse,54,non,not a medical product,1,795416
toile blanche et rousse guingans,15,non,,,42621
toile blanche et teinte,100,non,not a medical product,100,795416
toile blanche étrangère,3,non,not a medical product,3,795416
toile blanche fine,8,non,not a medical product,7,795416
toile blanche fine et de lin,3,non,not a medical product,3,795416
toile blanche guinée,3,non,not a medical product,3,795416
toile blanche large,1,non,not a medical product,1,795416
toile blanche ordinaire,18,non,not a medical product,18,795416
toile blanche ordre,1,non,not a medical product,1,795416
toile blanche peinte,18,non,not a medical product,18,795416
toile blanche pour essuie-mains,5,non,not a medical product,1,795416
toile blanchie,2,non,not a medical product,,795416
toile bleue,35,non,not a medical product,28,795416
toile bleue de coton,12,non,not a medical product,3,795416
toile bleue des Indes,1,non,not a medical product,1,795416
toile bleue et rouge,1,non,not a medical product,,795416
toile bleue peinte,1,oui,not a medical product,,795416
toile bocadillo,2,non,not a medical product,2,795416
toile boelans,1,non,not a medical product,1,795416
toile bonnets,1,non,,,42621
toile boucassine,21,non,not a medical product,12,795416
toile bougran,112,non,not a medical product,6,795416
toile bougran de chanvre,1,non,,,42621
toile bougran gommée,3,non,,,42621
toile boulange,1,non,not a medical product,1,795416
toile bourlegambis,6,non,not a medical product,1,795416
toile branle,4,oui,,,42621
toile branle imitant celles des Indes,1,oui,,,42621
toile brantes des Indes,1,oui,not a medical product,1,795416
toile brauls,4,oui,not a medical product,4,795416
toile brauls des Indes,2,oui,not a medical product,2,795416
toile brauls imitant celles des Indes,1,oui,not a medical product,1,795416
toile brin,2,non,not a medical product,1,795416
toile brin de Dinant,2,non,not a medical product,,795416
toile brin trois-quart de Combourg,5,non,,,42621
toile brochée,2,non,not a medical product,1,795416
toile brodée,2,non,not a medical product,2,795416
toile brodée en laine et de coton,1,non,not a medical product,1,795416
toile brodée en soie et de coton,1,non,not a medical product,1,795416
toile brodée et de coton,5,non,not a medical product,3,795416
toile bueadille,0,non,not a medical product,1,795416
toile cacanava,2,non,not a medical product,1,795416
toile cachelas des Indes,3,oui,not a medical product,3,795416
toile cadéas,1,non,not a medical product,1,795416
toile caissie,74,non,not a medical product,57,795416
toile caissière,1,non,,,42621
toile calanea,1,non,not a medical product,1,795416
toile calias,1,non,not a medical product,,795416
toile canevas,154,non,not a medical product,21,795416
toile canevas de chanvre,1,non,,,42621
toile canevas de fil,2,non,,,42621
toile canevas gommée,3,non,,,42621
toile canevas tracé,7,non,,,42621
toile carotte,1,non,not a medical product,1,795416
toile carotte double,1,non,not a medical product,1,795416
toile carotte simple,1,non,not a medical product,1,795416
toile carrée,1,non,,,42621
toile casse,1,non,not a medical product,1,795416
toile casselis,4,non,not a medical product,4,795416
toile cassie,2,non,not a medical product,1,795416
toile ce chasse,3,non,not a medical product,3,795416
toile cerda,1,non,not a medical product,1,795416
toile céruse,2,non,not a medical product,2,795416
toile céruse de chanvre,1,non,,,42621
toile chapelur,1,non,not a medical product,1,795416
toile chapilas,3,non,not a medical product,3,795416
toile chasselas,225,non,not a medical product,99,795416
toile chebiny,5,non,not a medical product,2,795416
toile chille,1,non,not a medical product,1,795416
toile chitte,3,non,not a medical product,3,795416
toile choilette,1,non,not a medical product,1,795416
toile Cholet,132,oui,not a medical product,64,795416
toile Cholet à carreaux,1,oui,not a medical product,,795416
toile cholette,11,oui,not a medical product,10,795416
toile cirée,574,non,not a medical product,435,795416
toile cirée commune,1,non,not a medical product,,795416
toile cirée de 13 à 20 fils,1,non,not a medical product,1,795416
toile cirée de chanvre et de lin de 13 à 20 fils,1,non,not a medical product,1,795416
toile cirée de chanvre et de lin de 20 fils et au-dessus,2,non,not a medical product,2,795416
toile cirée de chanvre et de lin de 8 à 13 fils,1,non,not a medical product,1,795416
toile cirée de chanvre et de lin de moins de 8 fils,2,non,not a medical product,2,795416
toile cirée de chanvre et de lin unie,2,non,not a medical product,2,795416
toile cirée de moins de 8 fils,1,non,not a medical product,1,795416
toile cirée et de crin et gommée,30,non,not a medical product,30,795416
toile cirée et gommée,12,non,not a medical product,12,795416
toile cirée et lustrée,122,non,not a medical product,1,795416
toile cirée et peinte,10,non,not a medical product,7,795416
toile cirée large,8,non,,,42621
toile cirée pour paravent,1,non,not a medical product,,795416
toile cirée trois-quart,1,non,,,42621
toile cirsaca,7,oui,not a medical product,,795416
toile claire,1,non,not a medical product,1,795416
toile claire de coton et de fil,2,non,not a medical product,2,795416
toile cochelis,26,non,not a medical product,3,795416
toile coffres,1,non,not a medical product,1,795416
toile colette,1,non,not a medical product,1,795416
toile commune,315,non,not a medical product,296,795416
toile commune de 25 aunes,1,non,not a medical product,1,795416
toile commune de basin,3,non,not a medical product,1,795416
toile commune de coton,2,non,not a medical product,2,795416
toile commune de Dinant,2,non,not a medical product,,795416
toile commune de Lille,1,non,not a medical product,1,795416
toile commune de lin,41,non,not a medical product,41,795416
toile commune écrue et grosse et de lin,6,non,not a medical product,6,795416
toile commune et fine,4,non,not a medical product,4,795416
toile cordat,40,non,not a medical product,35,795416
toile corne,2,non,,,42621
toile corot,167,non,not a medical product,104,795416
toile corot double,2,non,not a medical product,2,795416
toile corot imitant celle des Indes,1,non,not a medical product,1,795416
toile corot simple,1,non,not a medical product,1,795416
toile cotonnade,5,non,not a medical product,2,795416
toile cotonnade commune,4,non,,,42621
toile cotonnade fine,3,non,,,42621
toile cotonnade sur fil grossière,1,non,,,42621
toile cottray,44,non,not a medical product,44,795416
toile coupis,12,non,not a medical product,10,795416
toile coupis imitant celle des Indes,1,non,not a medical product,1,795416
toile coutil,330,non,not a medical product,272,795416
toile coutil commune,14,non,not a medical product,12,795416
toile coutil croisée,1,non,not a medical product,1,795416
toile coutil de fil,13,non,not a medical product,13,795416
toile coutil de fil et de laine,1,non,not a medical product,1,795416
toile coutil pour lit,1,non,,,42621
toile crée,73,non,not a medical product,64,795416
toile crée de 50 aunes,1,non,,,42621
toile crée entrelarge,1,non,not a medical product,,795416
toile crée gratienne,2,non,not a medical product,,795416
toile crée large,54,non,not a medical product,5,795416
toile crée large de lin,1,non,not a medical product,1,795416
toile crée margé,1,non,not a medical product,1,795416
toile crée pièces de 50 aunes,1,oui,not a medical product,1,795416
toile crée rayée,2,non,not a medical product,,795416
toile crée rosconne,3,non,not a medical product,,795416
toile cretonne,1,non,not a medical product,1,795416
toile crin,2,non,not a medical product,2,795416
toile crise,1,non,not a medical product,1,795416
toile crue,141,non,not a medical product,125,795416
toile crue de 20 aunes,1,non,,,42621
toile crue de ménage,3,non,not a medical product,3,795416
toile crue et teinte,1,non,not a medical product,1,795416
toile crue grise et ardoisée,4,non,not a medical product,1,795416
toile crue large,2,non,not a medical product,,795416
toile crue pièces de 20 aunes,1,oui,not a medical product,1,795416
toile cunbabis,1,non,not a medical product,,795416
toile custas,3,non,not a medical product,2,795416
toile custas imitant celle des Indes,1,non,not a medical product,1,795416
toile d'abas,1,non,not a medical product,1,795416
toile d'Agen,6,non,not a medical product,6,795416
toile d'Alençon,1,non,not a medical product,,795416
toile d'Alep,13,non,not a medical product,8,795416
toile d'Allemagne,66,non,not a medical product,48,795416
toile d'Allemagne et toile de Silésie,1,non,not a medical product,1,795416
toile d'aman,161,non,not a medical product,122,795416
toile d'amat,1,oui,not a medical product,1,795416
toile d'Angers,1,non,not a medical product,1,795416
toile d'anne,1,non,not a medical product,1,795416
toile d'antale,27,non,not a medical product,16,795416
toile d'Antioche,139,non,not a medical product,116,795416
toile d'antrain,2,non,not a medical product,,795416
toile d'Argouges,1,non,not a medical product,1,795416
toile d'Artische,1,non,not a medical product,1,795416
toile d'aune,2,non,not a medical product,,795416
toile d'Autriche,1,non,not a medical product,,795416
toile d'auxonne,2,non,not a medical product,,795416
toile d'azar,13,non,not a medical product,8,795416
toile d'azur,6,non,not a medical product,5,795416
toile d'azur bleue,1,non,not a medical product,1,795416
toile d'ecripe,1,non,not a medical product,1,795416
toile d'emballage,733,non,not a medical product,614,795416
toile d'emballage 2270 lignes,1,non,not a medical product,1,795416
